#,Episode,Player A,Player B,First,Left Deck,Link,Right Deck,Link,Game 1,Game 2,Game 3,Game 4,Game 5,,
1,https://youtu.be/VZOB0QRVyPQ,Serge Jager,Benjamin Wheeler,A,UW Tempo,https://moxfield.com/decks/Ioqkh9yMuUSNtJyhy1Wylg,Pattern Rector,https://moxfield.com/decks/FAscpqC_z0CF9Ett8FL1BA,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,Serge Jager,,,
2,https://youtu.be/tPUtwAid8Xw,Serge Jager,Benjamin Wheeler,B,Sanctum Stompy,https://moxfield.com/decks/0pvOp8ixeEKfWxE52SQDGA,BR Goblins,https://moxfield.com/decks/eexlEA0zkEicaGMhxhMUgA,Benjamin Wheeler,Benjamin Wheeler,,,,,
3,https://youtu.be/905znNs7B9Y,Benjamin Wheeler,Serge Jager,A,Blue Moon,https://moxfield.com/decks/Ioqkh9yMuUSNtJyhy1Wylg,UW Tempo,https://moxfield.com/decks/Ioqkh9yMuUSNtJyhy1Wylg,Serge Jager,Benjamin Wheeler,Serge Jager,,,,
4,https://youtu.be/wwS46OFHT2A,Benjamin Wheeler,Serge Jager,B,Abzan Midrange Lands,https://moxfield.com/decks/5aJcBJJ7PUSUPF8Zco4PCg,Temur Lands,https://moxfield.com/decks/aiFTFxC1_k-qElKH7ZWGEg,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,,
5,https://youtu.be/xXyV6dJTFWI,Benjamin Wheeler,Serge Jager,B,Simic Sorensen Tempo,https://moxfield.com/decks/SSGTYYi7NE-PLyD3veEucA,RUG Lands ,https://moxfield.com/decks/SSV0XxrLREiU5T9YD4RNpw,Benjamin Wheeler,Serge Jager,Serge Jager,,,,
6,https://youtu.be/qDH3EcfcJ1Q,Benjamin Wheeler,Serge Jager,B,Simic Sorensen Tempo,https://moxfield.com/decks/SSGTYYi7NE-PLyD3veEucA,Abzan Recurring Nightmare,https://moxfield.com/decks/RSHOFcCEj0Oxdx6Xpujd6Q,Serge Jager,Serge Jager,,,,,
7,https://youtu.be/y8xgqFdGmuE,Benjamin Wheeler,Serge Jager,A,Dredge,https://moxfield.com/decks/id87t40M-UeqIIH7gL5Uqw,Recurring Nightmaer,https://moxfield.com/decks/RSHOFcCEj0Oxdx6Xpujd6Q,Benjamin Wheeler,Serge Jager,Serge Jager,,,,
8,https://youtu.be/UWNAdFzVook,Benjamin Wheeler,Serge Jager,B,Death & Taxes,https://moxfield.com/decks/6ZTMVqA7WUWm5_95SIH4qw,Workshop Weenie,https://moxfield.com/decks/2yYiOhqMfEGdukvz9mt7iA,Benjamin Wheeler,Benjamin Wheeler,,,,,
9,https://youtu.be/nolZcOuJ2b0,Benjamin Wheeler,Serge Jager,B,Eggs,https://moxfield.com/decks/Lxbv2CXmiUyUtSDX9xsItg,Merfolk,https://moxfield.com/decks/jSnpewLgCE-6TIp7H2-FkQ,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,,
10,https://youtu.be/210KhtyAhhc,Benjamin Wheeler,Serge Jager,A,Eggs,https://moxfield.com/decks/Lxbv2CXmiUyUtSDX9xsItg,Workshop Weenie,https://moxfield.com/decks/2yYiOhqMfEGdukvz9mt7iA,Serge Jager,Serge Jager,Benjamin Wheeler,,,,
11,https://youtu.be/qozW3buTzw0,Benjamin Wheeler,Serge Jager,A,Death & Taxes,https://moxfield.com/decks/6ZTMVqA7WUWm5_95SIH4qw,Merfolk,https://moxfield.com/decks/jSnpewLgCE-6TIp7H2-FkQ,Benjamin Wheeler,Benjamin Wheeler,,,,,
12,https://youtu.be/9cOnhlYRhTI,Benjamin Wheeler,Serge Jager,A,Azorius Control,https://moxfield.com/decks/ltTnTWtC50KzZ_diWlkiHw,Big Red,https://moxfield.com/decks/8Zt0aVegmkSz_hmdIryXVg,Benjamin Wheeler,Benjamin Wheeler,,,,,
13,https://youtu.be/kw9RdAFtu3U,Benjamin Wheeler,Serge Jager,A,CradleHoof,https://moxfield.com/decks/5Oq9RcmuWk6QVqKPDs25og,Big Red,https://moxfield.com/decks/8Zt0aVegmkSz_hmdIryXVg,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,,
14,https://youtu.be/mR4sGpuHgyY,Benjamin Wheeler,Serge Jager,A,CradleHoof,https://moxfield.com/decks/5Oq9RcmuWk6QVqKPDs25og,Blue Moon,https://moxfield.com/decks/iPmW3Lk-QECCFzEVRZwBrA,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,,
15,https://youtu.be/TMN8bBQeBww,Benjamin Wheeler,Serge Jager,A,SeekerWalk,https://moxfield.com/decks/ZKIY1Q2tl0a9qLW75n__eQ,Esper Intiative Blink,https://moxfield.com/decks/3KkR1UffPEygzTfVIUqRuQ,Serge Jager,Benjamin Wheeler,Benjamin Wheeler,,,,
16,https://youtu.be/qx_NMWnCTXI,Benjamin Wheeler,Serge Jager,A,Red Deck Wins,https://moxfield.com/decks/t1K581Xwy0WFEEotkamtcw,Esper Intiative Blink,https://moxfield.com/decks/3KkR1UffPEygzTfVIUqRuQ,Benjamin Wheeler,Benjamin Wheeler,Serge Jager,,,,
17,https://youtu.be/YDu_zAtq43w,Benjamin Wheeler,Serge Jager,B,Aristocrats,https://moxfield.com/decks/PSBK_C0odEeNMXh4WGlEfg,Boros Equipment,https://moxfield.com/decks/YxkxeaTcZkmKk_JkvBTIDA,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,,
18,https://youtu.be/Yz2xAkhgD5M,Benjamin Wheeler,Serge Jager,A,Aristocrats,https://moxfield.com/decks/PSBK_C0odEeNMXh4WGlEfg,Ninjas,https://moxfield.com/decks/RnCFVwCE606gv2d0hoES3A,Benjamin Wheeler,Benjamin Wheeler,Benjamin Wheeler,,,,
